# Step: 5
# U_max: -0.5634516477584839
# x (configurations):
-0.930057 -1.749425
-0.562731 -1.151096
-1.355507 -1.837794
-1.102992 -0.791982
-1.217814 -2.152263
-0.763261 -1.105723
-0.724872 -1.908168
-1.230070 -1.033423
-1.340024 -2.249822
-0.808876 -0.432511
-1.125784 -1.347685
-0.791216 -1.977012
-1.089969 -1.610709
-1.771298 -1.971298
-0.759265 -0.869914
-1.040256 -1.857323
-1.321775 -1.488116
-0.958397 -1.357608
-1.156642 -0.829774
-1.130010 -2.235880
-1.300171 -2.273090
-1.165860 -0.878143
-0.921405 -1.921959
-1.256956 -2.215858
-1.156232 -0.825395
-1.114631 -0.474135
-1.069511 -2.251832
-1.041053 -1.766430
-1.236229 -1.734119
-1.273774 -0.858286
-0.845770 -1.593989
-0.972082 -0.673937
-1.458050 -1.696871
-0.666539 -1.044893
-1.166546 -2.106461
-0.606849 -0.407178
-0.839895 -1.037327
-1.271168 -1.721908
-0.726623 -1.343650
-1.333691 -1.837642
-1.022111 -1.167037
-1.103276 -1.905231
-0.957573 -0.731974
-1.221958 -1.264635
-0.801923 -1.494317
-0.889584 -0.736237
-1.093056 -2.139547
-1.047433 -0.626385
-0.932309 -1.768255
-1.335490 -1.948791
-0.776924 -1.452915
-1.188772 -2.005529
-1.340349 -1.511233
-1.265787 -1.705772
-0.901186 -1.276592
-0.977720 -1.723998
-1.581713 -2.619633
-1.245546 -1.716403
-1.386859 -1.851155
-1.327067 -2.007712
-1.219268 -2.336378
-1.316433 -2.438968
-1.105805 -1.961087
-0.857084 -1.692850
-1.254677 -2.020153
-0.854717 -0.898396
-1.042479 -1.226961
-1.025780 -1.971908
-1.548873 -1.813494
-1.076020 -1.926804
-0.988082 -1.777167
-1.083487 -0.969628
-0.930930 -1.885260
-1.067811 -1.850467
-1.311166 -2.311119
-0.917363 -0.468304
-1.425223 -1.080018
-1.503491 -1.623775
-1.207041 -0.930380
-1.339472 -1.654451
-0.930098 -1.039676
-1.012999 -1.734034
-0.893843 -0.847796
-0.867990 -1.141733
-0.992104 -1.048047
-1.132669 -1.807082
-1.285214 -2.058501
-1.089851 -1.419747
-0.664763 -0.915365
-1.126040 -1.631312
-1.229430 -2.200935
-0.935980 -1.004606
-0.985371 -1.086770
-1.304612 -1.070404
-0.746245 -1.406674
-1.108625 -2.246936
-0.952505 -0.554556
-1.023791 -0.654152
-1.351257 -2.383420
-1.246710 -1.574823
-1.324004 -0.990837
-0.928480 -0.906627
-0.995720 -0.488534
-0.955069 -1.061365
-1.116372 -1.719333
-0.795068 -0.575330
-1.015164 -1.969013
-0.927398 -0.724902
-1.348261 -1.609347
-0.981720 -1.234138
-1.392907 -0.308512
-1.062481 -1.316477
-0.824333 -0.911951
-1.213462 -1.201896
-1.217148 -1.210353
-1.302679 -1.525053
-1.231302 -2.273225
-1.151419 -2.068272
-0.716811 -0.869630
-1.404670 -1.665957
-1.153710 -1.420066
-0.829778 -1.471120
-1.416258 -1.870686
-0.946746 -0.594737
-1.075359 -1.797491
-0.879159 -1.447479
-1.212734 -2.111684
-0.909467 -0.991610
-1.259968 -1.033077
-1.054308 -0.831453
-1.173323 -1.638629
-1.180948 -0.997989
-1.087125 -1.915920
-1.143396 -1.368310
-0.933307 -1.082524
-1.142475 -1.212735
-0.935588 -1.345522
-0.986637 -0.893362
-1.286546 -2.317337
-1.191687 -2.285230
-1.284048 -2.423630
-0.923201 -0.759966
-1.120234 -1.447642
-0.843596 -0.820859
-1.132537 -1.668811
-0.934144 -1.352077
-0.613002 -0.786099
-0.964570 -0.655440
-1.265126 -1.698519
-1.112370 -0.510796
-0.836765 -0.934009
-1.018190 -1.293174
-0.722915 -0.226202
-1.328184 -1.476070
-1.420630 -2.361826
-1.182329 -1.250034
-0.845980 -1.440047
-1.220652 -0.862139
-0.920467 -1.509770
-0.924502 -1.854232
-1.349245 -1.223347
-0.763020 -1.037069
-1.167236 -1.727450
-1.301612 -1.097495
-0.694784 -0.851910
-0.798409 -0.887471
-1.163063 -0.942401
-1.514866 -1.281576
-1.258184 -1.844169
-1.034728 -1.406161
-0.942878 -0.631841
-0.862258 -1.526121
-1.291116 -0.673294
-0.925791 -1.161344
-1.024329 -1.032808
-1.037077 -1.370253
-1.061592 -1.382189
-0.727758 -1.182825
-1.009685 -1.399863
-1.101656 -0.896914
-1.049928 -1.452745
-1.042955 -1.282667
-1.317471 -2.238192
-1.454369 -1.900414
-0.857534 -1.329971
-1.206713 -1.608895
-1.227502 -2.066183
-1.003352 -0.421922
-0.946113 -1.421239
-1.389527 -2.031482
-0.749931 -0.320280
-1.001448 -1.178010
-0.999313 -2.073937
-1.223015 -1.079062
-0.982565 -1.885743
-1.053834 -1.581944
-1.436991 -1.283292
-1.052048 -0.921152
-1.147871 -1.776210
-0.926391 -1.383677
-0.966110 -0.478181
-1.074889 -1.519552
-1.077735 -1.390951
-1.341467 -0.830270
-1.068358 -1.476340
-1.196849 -0.621249
-1.173361 -2.256867
-0.981387 -1.396817
-0.821175 -0.339360
-0.796123 -0.763535
-1.601883 -1.253741
-1.308372 -2.225515
-0.691197 -0.845444
-1.256636 -0.802876
-1.021239 -1.233895
-0.827310 -1.746092
-0.904816 -1.199396
-0.927066 -0.441126
-1.102201 -0.585286
-0.676093 -0.691755
-0.783244 -0.866208
-1.284037 -1.898043
-1.004266 -2.149761
-1.119098 -1.638818
-1.356880 -0.843054
-0.961146 -0.796223
-0.857637 -1.475636
-1.270048 -2.342314
-1.430413 -2.348845
-0.830348 -0.983006
-1.207139 -1.870501
-1.119365 -0.371162
-1.080383 -1.708333
-1.394234 -0.805590
-1.092031 -0.753098
-0.896317 -0.326718
-1.038438 -1.085999
-1.389569 -1.408742
-0.843554 -1.880845
-1.166839 -1.193107
-0.761682 -1.273369
-1.102824 -1.522050
-1.196797 -1.038355
-1.559988 -2.293464
-1.092077 -1.795798
-0.857022 -1.137924
-1.287506 -1.330016
-0.964856 -0.714815
-0.669692 -0.519199
-1.131789 -0.815367
-1.157269 -1.749977
-1.052794 -1.218419
-1.034862 -1.598222
-0.889268 -0.846576
-1.307750 -0.977529
-1.266072 -2.463828
-1.339148 -1.794126
-1.054869 -1.095582
-0.976567 -0.829415
-1.049610 -1.252595
-1.029804 -1.685415
-1.123790 -1.576476
-0.554341 -0.502263
-1.345873 -0.973898
-1.061718 -2.264339
-1.133326 -1.139890
-1.131265 -1.328114
-1.064585 -1.128667
-1.220547 -1.422617
-0.707880 -1.112198
-1.017641 -2.152410
-0.780361 -1.369228
-0.967574 -1.226523
-0.973015 -0.529152
-1.449470 -2.483854
-1.025518 -0.699823
-0.804863 -1.414333
-0.887002 -1.066574
-0.908979 -1.597088
-1.216281 -1.879759
-0.857305 -1.107924
-1.264022 -2.108527
-1.322801 -1.180005
-1.512025 -2.024933
-0.990737 -1.340663
-1.143959 -2.100858
-1.069968 -1.174983
-0.814858 -0.357309
-1.138917 -2.215059
-0.984384 -1.574728
-1.140862 -1.685494
-1.211273 -1.188909
-0.904833 -2.016333
-1.009918 -0.928230
-1.443064 -1.437789
-0.776871 -1.741507
-1.188641 -1.081497
-1.370985 -1.285797
-0.660910 -0.934649
-1.257307 -1.007393
-1.238576 -1.308397
-0.923344 -1.520225
-0.978036 -1.214790
-1.042766 -1.740593
-1.473406 -1.622548
-0.840108 -1.527502
-0.640444 -1.548836
-1.233745 -1.269142
-1.026837 -1.799598
-0.577718 -1.275089
-0.787081 -0.664585
-1.540809 -1.307063
-1.196390 -1.598633
-1.202255 -0.997806
-0.814063 -0.577084
-1.088639 -1.004342
-0.946358 -0.356758
-1.086647 -0.994545
-0.789125 -1.197548
-1.193324 -1.147374
-1.091350 -1.646395
-1.317266 -1.847819
-1.032238 -1.810157
-1.006909 -2.119864
-0.459202 -0.525758
-1.071750 -1.636208
-1.155445 -1.285319
-1.431230 -1.575455
-1.048473 -1.322071
-1.044822 -0.930875
-1.285333 -1.381293
-1.111812 -1.868758
-0.797121 -1.150574
-1.133421 -1.271453
-1.223171 -1.779040
-0.882288 -1.707179
-1.088975 -1.324854
-0.632208 -1.828891
-0.839272 -1.313454
-1.406979 -2.086720
-0.955027 -1.574332
-1.100080 -1.067070
-0.847347 -0.968872
-0.519187 -0.766977
-1.180827 -1.016501
-1.549917 -2.296959
-1.095942 -1.555351
-1.290763 -1.027960
-1.202125 -1.011951
-0.716002 -0.467585
-1.018997 -1.810954
-0.840878 -0.602406
-1.271114 -1.377879
-1.326546 -2.276938
-1.225020 -1.765183
-1.236995 -0.932778
-0.827010 -0.855448
-1.246405 -1.219252
-1.102306 -0.463414
-0.854775 -0.421538
-0.686481 -0.959550
-0.768636 -1.182834
-1.129606 -1.946545
-0.899611 -1.132808
-0.820971 -1.474457
-1.147350 -2.229330
-0.828843 -0.462547
-0.701975 -0.626618
-1.303830 -2.020823
-1.095490 -0.616009
-0.718579 -0.941270
-1.074943 -0.602491
-0.806593 -0.609973
-1.256914 -1.508438
-1.347317 -1.822081
-1.004770 -0.471347
-1.348263 -1.670868
-1.443342 -1.616738
-1.441511 -2.047239
-1.261674 -2.718035
-1.363208 -1.890347
-0.904343 -1.250669
-0.770652 -1.476525
-1.089802 -1.205304
-0.952706 -0.355341
-1.050842 -1.996147
-0.929959 -0.668684
-1.202967 -0.757797
-1.064955 -1.434379
-0.721654 -1.172056
-0.860797 -1.482743
-1.143183 -2.206506
-1.054727 -1.971561
-0.881718 -1.393428
-0.904077 -0.589071
-1.248690 -1.942235
-1.098829 -1.688750
-0.697434 -1.142964
-0.659676 -0.600207
-0.904894 -1.637702
-0.828665 -0.616199
-1.380763 -2.047769
-0.945805 -0.955322
-0.980353 -1.799626
-0.938369 -1.440344
-1.450443 -2.230020
-0.986703 -2.048247
-1.030372 -2.001034
-0.833694 -0.468040
-1.296391 -1.841709
-1.314609 -2.014503
-0.901621 -0.675548
-1.067248 -0.462751
-1.104592 -1.046642
-0.751561 -0.975162
-1.352020 -1.167969
-1.190693 -2.050305
-1.126922 -1.739947
-0.880041 -0.695264
-0.628315 -1.426346
-0.904785 -0.508858
-1.256270 -1.193767
-0.874207 -1.105387
-1.395368 -1.080947
-0.736715 -1.064439
-0.599404 -1.072250
