# Data Analysis 
# Generated on: 2025-06-18 16:05:22
# Columns: Step, NS=0/MS=1, Time_Elapsed_s, Total_energy_calls, U_max
#
1        0        0.014524     100000.000000 63.932587   
301      0        1.179806     30100000.000000 62.306068   
601      0        2.040792     60100000.000000 60.913498   
901      0        3.020374     90100000.000000 59.593105   
1201     0        3.936728     120100000.000000 58.347382   
1501     0        4.863551     150100000.000000 57.170918   
1801     0        5.891841     180100000.000000 56.006138   
2101     0        6.883004     210100000.000000 54.822906   
2401     0        7.783873     240100000.000000 53.697453   
2701     0        8.688211     270100000.000000 52.634087   
3001     0        9.631799     300100000.000000 51.389488   
3301     0        10.564421    330100000.000000 50.256233   
3601     0        11.682897    360100000.000000 49.211777   
3901     0        12.632704    390100000.000000 48.206738   
4201     0        13.736000    420100000.000000 47.197506   
4501     0        14.745251    450100000.000000 46.159523   
4801     0        15.696695    480100000.000000 45.097885   
5101     0        16.946020    510100000.000000 44.080849   
5401     0        17.927894    540100000.000000 43.111893   
5701     0        18.917433    570100000.000000 42.232506   
6001     0        19.889015    600100000.000000 41.315155   
6301     0        20.866494    630100000.000000 40.414604   
6601     0        21.905066    660100000.000000 39.564201   
6901     0        22.909148    690100000.000000 38.686165   
7201     0        24.808608    720100000.000000 37.819023   
7501     0        25.940060    750100000.000000 36.944427   
7801     0        28.674205    780100000.000000 36.126129   
8101     0        30.919097    810100000.000000 35.318172   
8401     0        32.914492    840100000.000000 34.597980   
8701     0        34.659085    870100000.000000 33.822117   
9001     0        36.446000    900100000.000000 33.101650   
9301     0        38.446570    930100000.000000 32.400208   
9601     0        39.957334    960100000.000000 31.639126   
9901     0        41.881933    990100000.000000 30.953690   
10201    0        43.560298    1020100000.000000 30.267727   
10501    0        45.290804    1050100000.000000 29.664722   
10801    0        47.256856    1080100000.000000 28.986620   
11101    0        48.628829    1110100000.000000 28.346912   
11401    0        49.708962    1140100000.000000 27.733719   
11701    0        51.029395    1170100000.000000 27.168320   
12001    0        52.350623    1200100000.000000 26.524132   
12301    0        53.526978    1230100000.000000 25.901247   
12601    0        54.626244    1260100000.000000 25.364868   
12901    0        55.880250    1290100000.000000 24.846022   
13201    0        57.000556    1320100000.000000 24.285971   
13501    0        58.327750    1350100000.000000 23.796593   
13801    0        59.477720    1380100000.000000 23.238991   
14101    0        60.733178    1410100000.000000 22.730965   
14401    0        62.276892    1440100000.000000 22.285219   
