# Data Analysis 
# Generated on: 2025-09-20 11:28:41
# Columns: Step, NS=0/MS=1, Time_Elapsed_s, Total_energy_calls, U_max
#
15000    0        0.000000     1500000000.0 21.324566   
15000    1        156.000551   1500000000.0 21.324566   
15010    1        185.832817   1500000010.0 21.311262   
15020    1        185.833607   1500000020.0 21.293938   
15030    1        185.834548   1500000030.0 21.275066   
15040    1        185.835198   1500000040.0 21.262218   
15050    1        185.835972   1500000050.0 21.242477   
15060    1        185.836551   1500000060.0 21.228268   
15070    1        185.837166   1500000070.0 21.216724   
15080    1        185.837748   1500000080.0 21.197563   
15090    1        185.838355   1500000090.0 21.184132   
15100    1        185.839302   1500000100.0 21.172537   
15110    1        185.839853   1500000110.0 21.156223   
15120    1        185.840392   1500000120.0 21.137058   
15130    1        185.840942   1500000130.0 21.125828   
15140    1        185.841566   1500000140.0 21.119118   
15150    1        185.842134   1500000150.0 21.106510   
15160    1        185.842674   1500000160.0 21.087620   
15170    1        185.843235   1500000170.0 21.072638   
15180    1        185.843792   1500000180.0 21.063787   
15190    1        185.844390   1500000190.0 21.053461   
15200    1        185.844969   1500000200.0 21.041719   
15210    1        185.845527   1500000210.0 21.034229   
15220    1        185.846066   1500000220.0 21.021532   
15230    1        185.846606   1500000230.0 21.006779   
15240    1        185.847184   1500000240.0 20.986685   
15250    1        185.847844   1500000250.0 20.975191   
15260    1        185.848697   1500000260.0 20.962646   
15270    1        185.849348   1500000270.0 20.948921   
15280    1        185.850167   1500000280.0 20.928562   
15290    1        185.850827   1500000290.0 20.917515   
15300    1        185.851373   1500000300.0 20.896574   
15310    1        185.852075   1500000310.0 20.888592   
15320    1        185.852910   1500000320.0 20.877762   
15330    1        185.853643   1500000330.0 20.865940   
15340    1        185.854379   1500000340.0 20.845825   
15350    1        185.855239   1500000350.0 20.836487   
15360    1        185.855863   1500000360.0 20.825647   
15370    1        185.856567   1500000370.0 20.811245   
15380    1        185.857309   1500000380.0 20.797878   
15390    1        185.857998   1500000390.0 20.789467   
15400    1        185.858579   1500000400.0 20.777739   
15410    1        185.859623   1500000410.0 20.766441   
15420    1        185.860221   1500000420.0 20.753374   
15430    1        185.861045   1500000430.0 20.737310   
15440    1        185.861579   1500000440.0 20.726604   
15450    1        185.862111   1500000450.0 20.715157   
15460    1        185.862739   1500000460.0 20.695807   
15470    1        185.863617   1500000470.0 20.684381   
15480    1        185.864280   1500000480.0 20.676292   
15490    1        185.865162   1500000490.0 20.662060   
15500    1        185.865873   1500000500.0 20.653299   
15510    1        185.866581   1500000510.0 20.642950   
15520    1        185.867243   1500000520.0 20.620306   
15530    1        185.867876   1500000530.0 20.600636   
15540    1        185.868512   1500000540.0 20.592665   
15550    1        185.869057   1500000550.0 20.584932   
15560    1        185.869600   1500000560.0 20.576424   
15570    1        185.870132   1500000570.0 20.567463   
15580    1        185.870688   1500000580.0 20.552219   
15590    1        185.871241   1500000590.0 20.527395   
15600    1        185.871896   1500000600.0 20.514400   
15610    1        185.872541   1500000610.0 20.498276   
15620    1        185.873084   1500000620.0 20.485249   
15630    1        185.873644   1500000630.0 20.469322   
15640    1        185.874281   1500000640.0 20.459089   
15650    1        185.874919   1500000650.0 20.446674   
15660    1        185.875504   1500000660.0 20.436371   
15670    1        185.876180   1500000670.0 20.418724   
15680    1        185.876742   1500000680.0 20.403393   
15690    1        185.877313   1500000690.0 20.392544   
15700    1        185.878235   1500000700.0 20.377520   
15710    1        185.878893   1500000710.0 20.364475   
15720    1        185.879482   1500000720.0 20.339169   
15730    1        185.880944   1500000730.0 20.326294   
15740    1        185.881642   1500000740.0 20.308132   
15750    1        185.882746   1500000750.0 20.295210   
15760    1        185.883435   1500000760.0 20.284178   
15770    1        185.884109   1500000770.0 20.277048   
15780    1        185.884829   1500000780.0 20.269342   
15790    1        185.885448   1500000790.0 20.250708   
15800    1        185.886494   1500000800.0 20.242714   
15810    1        185.887025   1500000810.0 20.231045   
15820    1        185.887635   1500000820.0 20.218813   
15830    1        185.888681   1500000830.0 20.209850   
15840    1        185.889317   1500000840.0 20.201998   
15850    1        185.890041   1500000850.0 20.186598   
15860    1        185.890609   1500000860.0 20.171568   
15870    1        185.891337   1500000870.0 20.162998   
15880    1        185.891981   1500000880.0 20.148453   
15890    1        185.892594   1500000890.0 20.128630   
15900    1        185.893288   1500000900.0 20.117182   
15910    1        185.893950   1500000910.0 20.098486   
15920    1        185.894574   1500000920.0 20.080397   
15930    1        185.895180   1500000930.0 20.073421   
15940    1        185.895751   1500000940.0 20.068645   
15950    1        185.896361   1500000950.0 20.059391   
15960    1        185.897075   1500000960.0 20.045265   
15970    1        185.897794   1500000970.0 20.026833   
15980    1        185.898667   1500000980.0 20.011906   
15990    1        185.899537   1500000990.0 19.997988   
16000    1        185.900229   1500001000.0 19.988024   
16010    1        185.900790   1500001010.0 19.979858   
16020    1        185.901324   1500001020.0 19.970371   
16030    1        185.902022   1500001030.0 19.961985   
16040    1        185.902580   1500001040.0 19.947819   
16050    1        185.903133   1500001050.0 19.933014   
16060    1        185.903728   1500001060.0 19.920280   
16070    1        185.904869   1500001070.0 19.904434   
16080    1        185.905570   1500001080.0 19.889614   
16090    1        185.906541   1500001090.0 19.879681   
16100    1        185.907143   1500001100.0 19.865669   
16110    1        185.907918   1500001110.0 19.853704   
16120    1        185.908477   1500001120.0 19.839430   
16130    1        185.909081   1500001130.0 19.825350   
16140    1        185.909723   1500001140.0 19.817003   
16150    1        185.910357   1500001150.0 19.800581   
16160    1        185.910900   1500001160.0 19.788218   
16170    1        185.911610   1500001170.0 19.779434   
16180    1        185.912237   1500001180.0 19.770378   
16190    1        185.913031   1500001190.0 19.753811   
16200    1        185.913693   1500001200.0 19.739473   
16210    1        185.914394   1500001210.0 19.734169   
16220    1        185.914919   1500001220.0 19.720242   
16230    1        185.915535   1500001230.0 19.702995   
16240    1        185.916378   1500001240.0 19.693661   
16250    1        185.917051   1500001250.0 19.677593   
16260    1        185.917734   1500001260.0 19.664183   
16270    1        185.918486   1500001270.0 19.647497   
16280    1        185.919156   1500001280.0 19.636250   
16290    1        185.919800   1500001290.0 19.621851   
16300    1        185.920466   1500001300.0 19.610771   
16310    1        185.921584   1500001310.0 19.594000   
16320    1        185.922227   1500001320.0 19.578611   
16330    1        185.922859   1500001330.0 19.559486   
16340    1        185.924091   1500001340.0 19.544262   
16350    1        185.924888   1500001350.0 19.534136   
16360    1        185.925692   1500001360.0 19.518581   
16370    1        185.926434   1500001370.0 19.504328   
