# Data Analysis 
# Generated on: 2025-06-18 17:00:50
# Columns: Step, NS=0/MS=1, Time_Elapsed_s, Total_energy_calls, U_max
#
15000    0        0.000000     1500000000.0 21.324566   
15000    1        115.707177   1500000000.0 21.324566   
15010    1        193.279052   1500000010.0 21.313118   
15020    1        193.286259   1500000020.0 21.298607   
15030    1        193.289750   1500000030.0 21.285595   
15040    1        193.292704   1500000040.0 21.271770   
15050    1        193.295210   1500000050.0 21.247908   
15060    1        193.302055   1500000060.0 21.235294   
15070    1        193.305914   1500000070.0 21.222786   
15080    1        193.308760   1500000080.0 21.208738   
15090    1        193.311529   1500000090.0 21.196247   
15100    1        193.313254   1500000100.0 21.184839   
15110    1        193.316756   1500000110.0 21.179260   
15120    1        193.318907   1500000120.0 21.166677   
15130    1        193.320875   1500000130.0 21.147631   
15140    1        193.322737   1500000140.0 21.132608   
15150    1        193.325825   1500000150.0 21.121483   
15160    1        193.327444   1500000160.0 21.114159   
15170    1        193.329069   1500000170.0 21.100563   
15180    1        193.330643   1500000180.0 21.086496   
15190    1        193.333854   1500000190.0 21.069233   
15200    1        193.335474   1500000200.0 21.062616   
15210    1        193.337539   1500000210.0 21.049252   
15220    1        193.347355   1500000220.0 21.039457   
15230    1        193.353799   1500000230.0 21.029179   
15240    1        193.362349   1500000240.0 21.014729   
15250    1        193.368441   1500000250.0 21.000847   
15260    1        193.371189   1500000260.0 20.980246   
15270    1        193.374350   1500000270.0 20.969561   
15280    1        193.376871   1500000280.0 20.957413   
15290    1        193.380329   1500000290.0 20.946447   
15300    1        193.385787   1500000300.0 20.926235   
15310    1        193.391783   1500000310.0 20.904217   
15320    1        193.394918   1500000320.0 20.895695   
15330    1        193.397137   1500000330.0 20.888239   
15340    1        193.401186   1500000340.0 20.876556   
15350    1        193.406237   1500000350.0 20.864899   
15360    1        193.408345   1500000360.0 20.843176   
15370    1        193.411514   1500000370.0 20.833988   
15380    1        193.420429   1500000380.0 20.818766   
15390    1        193.428480   1500000390.0 20.809313   
15400    1        193.432016   1500000400.0 20.795803   
15410    1        193.436349   1500000410.0 20.780613   
15420    1        193.442808   1500000420.0 20.774790   
15430    1        193.446485   1500000430.0 20.757061   
15440    1        193.449743   1500000440.0 20.749336   
15450    1        193.455043   1500000450.0 20.730776   
15460    1        193.460809   1500000460.0 20.724316   
15470    1        193.463208   1500000470.0 20.706709   
15480    1        193.465023   1500000480.0 20.693508   
15490    1        193.467253   1500000490.0 20.682085   
15500    1        193.469331   1500000500.0 20.674158   
15510    1        193.471019   1500000510.0 20.660620   
15520    1        193.473381   1500000520.0 20.653299   
15530    1        193.476097   1500000530.0 20.644068   
15540    1        193.478328   1500000540.0 20.620306   
15550    1        193.480134   1500000550.0 20.605734   
15560    1        193.482138   1500000560.0 20.592665   
15570    1        193.484217   1500000570.0 20.584496   
15580    1        193.486410   1500000580.0 20.573072   
15590    1        193.490995   1500000590.0 20.563725   
15600    1        193.494387   1500000600.0 20.539068   
15610    1        193.496481   1500000610.0 20.519234   
15620    1        193.523614   1500000620.0 20.512775   
15630    1        193.526823   1500000630.0 20.498276   
15640    1        193.537759   1500000640.0 20.484680   
15650    1        193.540955   1500000650.0 20.467779   
15660    1        193.544532   1500000660.0 20.459089   
15670    1        193.547789   1500000670.0 20.446411   
15680    1        193.556504   1500000680.0 20.436214   
15690    1        193.565128   1500000690.0 20.416540   
15700    1        193.568581   1500000700.0 20.403393   
15710    1        193.619890   1500000710.0 20.392645   
15720    1        193.622815   1500000720.0 20.377520   
15730    1        193.632020   1500000730.0 20.365820   
15740    1        193.664426   1500000740.0 20.350479   
15750    1        193.677724   1500000750.0 20.331818   
